<Trait>	PC1	PC2	PC3	PC4
11430	-21.4969764437768	-17.783827385611	59.9846570961178	-13.6927550190976
207	30.1528389550239	8.7032484833879	8.15713262714501	-28.826381439973
29MIBZ2	32.6948941131801	6.68361005291873	21.7712321289874	-24.311018963893
2FACC	-43.4457932108814	45.0836331239709	-28.7587050269347	-8.16802344983721
2MA22	26.261512462266	4.98285760540103	-0.178520833201971	-18.2573333843945
33-16	53.7618670110057	2.0420482631782	13.8231345175833	32.7582947786148
38-11	-30.4985890671797	-19.9695913447631	-15.6119383030023	-26.9104902919516
3IIH6	27.8872068596568	4.5640630968289	27.3047392367601	-16.0863324129292
4226	-13.5652340232468	-20.2362009522663	-18.3630305461662	-21.1230360409653
4676A	-53.6271473722699	-0.595077121300635	-8.62390497019996	-13.0466609277842
4722	4.12989750301631	-15.7653102976586	-14.1567841613823	-10.0947800530609
5707	10.3751141803084	-10.1422325052449	-9.26326226252831	-15.0560124231357
6F629	-42.3794614397033	33.7435203837363	7.51688959324432	-1.53359270709999
764	-43.2929486586601	58.2180406732957	12.5687676308314	14.5140467026893
778	-45.0689933858842	-13.870784087238	40.4916715360278	-2.51518852847599
779	-50.7286544824187	-42.6785013251183	46.2377515711535	14.7340927592607
78004	-8.33067127009698	62.4812888198123	3.35786257390962	-6.6549441130414
78010	-72.7276942149343	40.9223966876644	64.2587514877887	31.5993881708902
78371A	-46.6814363740392	-38.0467676000805	61.1048741504724	-3.05472292714955
78551S	0.15558616609126	-5.40783521858745	-0.19505932179459	-33.2661234937278
792	-50.9663657079671	40.6784459906098	63.5955108982454	16.388970351149
793	-98.1780151713547	55.3899987180013	27.0398940438324	13.779177308622
807	3.77683443279226	10.1377341020974	36.4698215695234	-1.48731301540366
A188	43.8984680521497	11.5632258932936	21.2180537391063	-1.31072709124352
A214N	18.6305468668953	30.1931434540652	0.889436827049247	5.30378115826503
A239	-27.4211385636537	-44.3150182504546	9.22863931008467	53.0638252483131
A441-5	75.6240724586059	9.99468118112287	13.0725510500599	21.4272787969871
A554	-2.37675653727288	-12.1798030141697	7.26323253629332	-5.96998924729392
A556	-47.5419454763313	-35.3284864684558	-26.8978834681189	-5.77252914230577
A6	52.4451470452357	7.33417266385186	18.7145602223498	11.2354345301336
A619	26.2896292295113	-2.25968679145622	5.41220414846225	-12.8309047821144
A632	-8.39398660807732	38.6549312091056	10.1735857302279	3.23630529951343
A634	-53.8379277117017	22.047595939297	17.3353774383731	2.45889631191832
A635	-0.438215511035037	37.4897497944767	11.0507354346684	-5.16574528371029
A641	33.6715217942701	23.7746352037599	22.4436064631173	7.21191666364281
A654	-13.5719948633649	-19.4599560856525	-1.26258546026578	-4.02307714277239
A659	-27.1819183107573	-18.2425858591813	-0.947328384092965	-9.00841942655001
A661	-10.5372955752664	-20.2957301237778	6.8048587131875	-2.60011742126171
A679	-127.98265687754	33.2179909320747	-14.0462367402715	22.6796883152988
A680	-64.4993529980447	78.1680821464563	-22.5000260338858	4.58966478488306
A682	-29.1831905906073	-32.6553071777347	30.1163732141804	-24.7118229928945
AB28A	-1.68785700827095	-10.5158866079409	11.5657045500576	-0.100822717704386
AQA3	24.930457451821	30.849826249121	30.1273011600652	6.39171382496253
B10	-2.20978450487432	25.4760841863737	-12.3645947475427	-10.0756710598825
B103	-61.7856291297776	-29.7524282507816	28.1599478735989	-17.2940993572058
B104	-86.9852480290579	12.8339386096238	-23.0412841244344	-7.81960093951126
B105	-21.2025349748479	18.9630574848235	-20.2715010354303	0.724257147781433
B109	-87.2437881117716	59.1638766989685	-29.1256711316607	15.8799119968489
B164	48.0304588962174	15.1450042261598	-19.3945565232414	-3.68813219708969
B2	36.1526407228181	9.61547315776356	-10.6449465630891	-1.89686790520216
B37	6.84482048279592	26.8525556033812	-12.0882859748778	-17.0640161383477
B46	-13.5493766137157	-2.34153594057755	-6.08460355355088	-16.589578762855
B52	-73.1926914579914	-24.8704148930353	-25.5136795076866	-24.2173296666115
B57	27.22007023044	-0.602675074830699	1.41707709443345	2.25513214408056
B64	31.3541956202685	40.9680938698241	2.09942944263378	-4.84160647653455
B68	-78.9071881162255	-29.842198506729	-12.3276866853172	13.2755272588921
B73	-56.7525097647834	86.7207218800472	-19.9051577447839	6.39825543843218
B73HTRHM	-10.9495551460103	75.760746997151	-31.2389926109341	-0.154701541121635
B75	26.9697068919347	12.1228754835088	-7.80833666063023	-7.52136502219007
B76	29.0575097282049	24.0431596379135	-6.07675217914788	3.4086872283826
B77	-6.80422417225485	-11.8801714549166	-8.55602270721066	-9.48688898853167
B79	14.1287132108804	13.7596942808863	-5.26786748921808	-3.2235322632263
B84	-48.8581815646456	33.5159431199316	-14.0825378015501	9.43854978942401
B97	-44.0551339330044	-33.835939396083	5.23235421881832	4.37906176821507
BLACKJEWELL85	38.4748005887008	3.90425678559612	-11.105937595803	-2.38072568281303
BO9	-53.8568352895239	7.46064659793542	2.71926931015919	-13.5233539270506
C103	17.9952529640202	-10.9699364619747	9.36568340629066	-15.0617305859848
C123	10.3732200370997	-16.2554183280432	5.34032663513005	-10.7601201533979
C49A	21.2418659396055	-5.73829661069481	28.0760374239029	14.3001973104586
CH701-30	-10.6950462957447	-15.322951287675	23.055944450236	6.33007763737603
CH9	-59.8252564648815	-42.3555111513813	-24.643933858056	-6.93858963142413
CI187-2	-43.7845114860045	-21.7277292777801	-15.7489592734682	-25.510655615484
CI21E	22.9158023614819	-3.20852847914004	-14.325417014657	-24.3818923516896
CI28A	12.2208038409297	-4.92994624901476	-21.4215537902497	-7.61243219230081
CI31A	9.43405047213615	-2.59231920996795	-20.7838410240868	-7.41434455619962
CI3A	29.4200232196523	5.13288926391517	-12.1448585654495	-5.46155879473483
CI64	42.1714567198891	6.11086618420544	-14.2825057287045	-1.7429975646683
CI66	-21.2066197595169	-19.9055982261281	-10.3499410002314	7.42061864768002
CI7GOODMAN-BUCKLER	18.0197940154361	-3.43593670304514	-17.2477652175471	-9.63370954268454
CI90C	15.1284778838564	-1.77232806239734	-16.4731034541555	-13.2483212523878
CI91BGOODMAN-BUCKLER	5.60744440562447	0.258378322239776	-8.81609460152755	-25.5399151848673
CM105	-15.9055661370515	20.7854147049403	-5.44729353900545	-17.035910169361
CM174	-13.4693113340696	27.67891378579	-13.2102185398941	-15.6781023175724
CM37	12.6153793999912	-6.13094419155694	0.201649401793848	-9.27583384730215
CM7	41.7117449541477	6.74815495219998	26.9181614963825	3.83349520662028
CML10	34.6331220987611	-6.85993171496489	-1.91153699149904	31.8594724732029
CML108	-19.8246483859532	-29.3182023675842	34.3226563032423	29.5447820500876
CML11	-12.5301358366102	-33.8800826080621	-19.8769751340922	26.4991013252885
CML14	14.8700505871876	-16.7182611551691	6.88057346704997	35.7418628021145
CML154Q	41.5981692488477	-1.30160393699694	5.8990123727268	17.6713876634161
CML157Q	64.9023481619687	7.1780514224298	2.90732872139194	10.2539970977573
CML158Q	-73.5950874879328	-66.367275556511	-14.8701872292939	31.2414364385893
CML218	-26.1816201861654	-21.1246231594731	-29.4222057843212	21.4316845966642
CML220	63.0268261890364	7.09699967622164	1.03853003769954	18.9154685699202
CML228	-45.6480479775388	-56.4020840219519	-24.6815653648235	38.0656899698399
